==========================================
SLURM_JOB_ID = 750651
SLURM_NODELIST = gnode069
SLURM_JOB_GPUS = 0
==========================================
wandb: Currently logged in as: loki-777. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.13.2
wandb: Run data is saved locally in /home2/vijay.vignesh/loki/pytorch-modular/main/wandb/run-20220901_182844-jh7ewum3
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run JointLearning-MallesNet-500epochs2022-09-01 18:28:40.443142
wandb: ⭐️ View project at https://wandb.ai/loki-777/joint-learning
wandb: 🚀 View run at https://wandb.ai/loki-777/joint-learning/runs/jh7ewum3
-------JointModel | MallesNet | cuda:0-------
...TRAINING...
/home2/vijay.vignesh/miniconda3/envs/loki/lib/python3.9/site-packages/monai/losses/dice.py:150: UserWarning: single channel prediction, `include_background=False` ignored.
  warnings.warn("single channel prediction, `include_background=False` ignored.")
Epoch: 1 | train_loss: 3475.9059 | segmentation_loss: 0.9759 | reconstruction_loss: 3474.9297 | val_loss: 3282.8378 | 
Epoch: 2 | train_loss: 3469.8925 | segmentation_loss: 0.9756 | reconstruction_loss: 3468.9165 | val_loss: 3259.3958 | 
Epoch: 3 | train_loss: 3401.8651 | segmentation_loss: 0.9747 | reconstruction_loss: 3400.8904 | val_loss: 3125.6609 | 
Epoch: 4 | train_loss: 3055.3806 | segmentation_loss: 0.9732 | reconstruction_loss: 3054.4072 | val_loss: 2520.5512 | 
Epoch: 5 | train_loss: 2006.7719 | segmentation_loss: 0.9711 | reconstruction_loss: 2005.8011 | val_loss: 1530.4171 | 
Epoch: 6 | train_loss: 1435.2260 | segmentation_loss: 0.9679 | reconstruction_loss: 1434.2581 | val_loss: 1309.4731 | 
Epoch: 7 | train_loss: 1174.7561 | segmentation_loss: 0.9625 | reconstruction_loss: 1173.7937 | val_loss: 1095.3865 | 
Epoch: 8 | train_loss: 1031.0812 | segmentation_loss: 0.9566 | reconstruction_loss: 1030.1248 | val_loss: 1002.5420 | 
Epoch: 9 | train_loss: 993.7773 | segmentation_loss: 0.9512 | reconstruction_loss: 992.8263 | val_loss: 991.8787 | 
Epoch: 10 | train_loss: 982.0022 | segmentation_loss: 0.9465 | reconstruction_loss: 981.0557 | val_loss: 981.3702 | 
Epoch: 11 | train_loss: 963.5232 | segmentation_loss: 0.9422 | reconstruction_loss: 962.5809 | val_loss: 983.1775 | 
Epoch: 12 | train_loss: 959.2484 | segmentation_loss: 0.9381 | reconstruction_loss: 958.3104 | val_loss: 977.4501 | 
Epoch: 13 | train_loss: 951.9255 | segmentation_loss: 0.9342 | reconstruction_loss: 950.9914 | val_loss: 958.0002 | 
Epoch: 14 | train_loss: 949.1997 | segmentation_loss: 0.9304 | reconstruction_loss: 948.2693 | val_loss: 973.3799 | 
Epoch: 15 | train_loss: 944.4428 | segmentation_loss: 0.9275 | reconstruction_loss: 943.5151 | val_loss: 961.5345 | 
Epoch: 16 | train_loss: 941.8690 | segmentation_loss: 0.9248 | reconstruction_loss: 940.9442 | val_loss: 951.8051 | 
Epoch: 17 | train_loss: 939.7501 | segmentation_loss: 0.9211 | reconstruction_loss: 938.8290 | val_loss: 960.9832 | 
Epoch: 18 | train_loss: 928.6495 | segmentation_loss: 0.9178 | reconstruction_loss: 927.7318 | val_loss: 936.9059 | 
Epoch: 19 | train_loss: 928.2376 | segmentation_loss: 0.9153 | reconstruction_loss: 927.3224 | val_loss: 946.2988 | 
Epoch: 20 | train_loss: 926.0062 | segmentation_loss: 0.9131 | reconstruction_loss: 925.0933 | val_loss: 959.0682 | 
Epoch: 21 | train_loss: 928.8557 | segmentation_loss: 0.9103 | reconstruction_loss: 927.9454 | val_loss: 949.3802 | 
Epoch: 22 | train_loss: 930.5781 | segmentation_loss: 0.9081 | reconstruction_loss: 929.6699 | val_loss: 966.8333 | 
Epoch: 23 | train_loss: 916.1401 | segmentation_loss: 0.9045 | reconstruction_loss: 915.2357 | val_loss: 931.8159 | 
Epoch: 24 | train_loss: 907.5227 | segmentation_loss: 0.9018 | reconstruction_loss: 906.6212 | val_loss: 935.4741 | 
Epoch: 25 | train_loss: 901.6111 | segmentation_loss: 0.8986 | reconstruction_loss: 900.7124 | val_loss: 919.3453 | 
Epoch: 26 | train_loss: 897.9632 | segmentation_loss: 0.8957 | reconstruction_loss: 897.0675 | val_loss: 906.8076 | 
Epoch: 27 | train_loss: 904.9203 | segmentation_loss: 0.8933 | reconstruction_loss: 904.0270 | val_loss: 921.2028 | 
Epoch: 28 | train_loss: 894.5026 | segmentation_loss: 0.8909 | reconstruction_loss: 893.6117 | val_loss: 917.5194 | 
Epoch: 29 | train_loss: 874.1589 | segmentation_loss: 0.8875 | reconstruction_loss: 873.2714 | val_loss: 894.0740 | 
Epoch: 30 | train_loss: 878.3621 | segmentation_loss: 0.8837 | reconstruction_loss: 877.4783 | val_loss: 897.3157 | 
Epoch: 31 | train_loss: 869.6339 | segmentation_loss: 0.8798 | reconstruction_loss: 868.7542 | val_loss: 889.8191 | 
Epoch: 32 | train_loss: 869.3347 | segmentation_loss: 0.8756 | reconstruction_loss: 868.4592 | val_loss: 875.7846 | 
Epoch: 33 | train_loss: 851.3414 | segmentation_loss: 0.8713 | reconstruction_loss: 850.4701 | val_loss: 913.9584 | 
Epoch: 34 | train_loss: 844.5858 | segmentation_loss: 0.8660 | reconstruction_loss: 843.7197 | val_loss: 882.4270 | 
Epoch: 35 | train_loss: 835.9379 | segmentation_loss: 0.8589 | reconstruction_loss: 835.0790 | val_loss: 857.6883 | 
Epoch: 36 | train_loss: 830.6416 | segmentation_loss: 0.8525 | reconstruction_loss: 829.7889 | val_loss: 831.4833 | 
